           1   -0.968324   -0.968324           0
           2   -0.520088   -0.744206    0.158475
           3   -0.177452   -0.555288    0.186963
           4   -0.117508   -0.445843    0.169251
           5   -0.408677    -0.43841    0.135564
           6   -0.309992   -0.417007    0.114647
           7   -0.152086   -0.379161    0.104329
           8    -0.39034   -0.380558   0.0912971
           9   -0.397143   -0.382401   0.0811716
          10   -0.370512   -0.381212   0.0730631
          11   -0.413393   -0.384138   0.0664796
          12   -0.341504   -0.380585   0.0610345
          13   -0.226705   -0.368748   0.0574759
          14   -0.277818   -0.362253   0.0537362
          15   -0.453865    -0.36836   0.0504996
          16   -0.189586   -0.357187   0.0485638
          17   -0.351879   -0.356875   0.0457081
          18   -0.372097    -0.35772   0.0431766
          19   -0.317087   -0.355582   0.0409571
          20   -0.322405   -0.353923   0.0389428
